relation_id,species_id,cite_id
803,Calonectris borealis,citation111
804,Calonectris borealis,citation110
805,Calonectris borealis,citation108
806,Calonectris borealis,citation223
807,Calonectris borealis,citation226
808,Calonectris diomedea,citation176
809,Calonectris diomedea,citation177
810,Calonectris diomedea,citation178
811,Calonectris diomedea,citation179
812,Calonectris diomedea,citation292
813,Calonectris diomedea,citation272
814,Calonectris diomedea,citation278
815,Calonectris diomedea,citation293
816,Calonectris edwardsii,citation205
817,Calonectris edwardsii,citation131
818,Calonectris leucomelas,citation162
819,Calonectris leucomelas,citation292
820,Calonectris leucomelas,citation46
821,Daption capense,citation135
822,Daption capense,citation60
823,Daption capense,citation162
824,Daption capense,citation292
825,Daption capense,citation16
826,Fulmarus glacialis,citation81
827,Fulmarus glacialis,citation82
828,Fulmarus glacialis,citation173
829,Fulmarus glacialis,citation125
830,Fulmarus glacialis,citation33
831,Fulmarus glacialis,citation126
832,Fulmarus glacialis,citation207
833,Fulmarus glacialis,citation16
834,Fulmarus glacialis,citation34
835,Fulmarus glacialoides,citation173
836,Fulmarus glacialoides,citation58
837,Fulmarus glacialoides,citation60
838,Fulmarus glacialoides,citation162
839,Fulmarus glacialoides,citation292
840,Halobaena caerulea,citation60
841,Halobaena caerulea,citation162
842,Halobaena caerulea,citation292
843,Halobaena caerulea,citation293
844,Macronectes giganteus,citation58
845,Macronectes giganteus,citation136
846,Macronectes giganteus,citation60
847,Macronectes giganteus,citation187
