ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,epomophora,,Diomedea epomophora,Diomedeaepomophora,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,exulans,,Diomedea exulans,Diomedeaexulans,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,sanfordi,,Diomedea sanfordi,Diomedeasanfordi,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,albatrus,,Phoebastria albatrus,Phoebastriaalbatrus,Diomedea albatrus albatrus
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,immutabilis,,Phoebastria immutabilis,Phoebastriaimmutabilis,Diomedea immutabilis immutabilis
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,irrorata,,Phoebastria irrorata,Phoebastriairrorata,Diomedea irrorata irrorata
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,nigripes,,Phoebastria nigripes,Phoebastrianigripes,Diomedea nigripes nigripes
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,fusca,,Phoebetria fusca,Phoebetriafusca,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,palpebrata,,Phoebetria palpebrata,Phoebetriapalpebrata,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,bulleri,,Thalassarche bulleri,Thalassarchebulleri,Diomedea bulleri bulleri
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,carteri,,Thalassarche carteri,Thalassarchecarteri,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,cauta,,Thalassarche cauta,Thalassarchecauta,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,chlororhynchos,,Thalassarche chlororhynchos,Thalassarchechlororhynchos,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,chrysostoma,,Thalassarche chrysostoma,Thalassarchechrysostoma,Diomedea chrysostoma chrysostoma
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,eremita,,Thalassarche eremita,Thalassarcheeremita,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,impavida,,Thalassarche impavida,Thalassarcheimpavida,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,melanophris,,Thalassarche melanophris,Thalassarchemelanophris,Thalassarche melanophris melanophris
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,salvini,,Thalassarche salvini,Thalassarchesalvini,
