brid,species_id,breeding_distribution_id,breeding_distribution,cite_id,username,dt
362,Onychoprion lunatus,2,Tr,citation311,grant,7/17/2016
363,Pagophila eburnea,1,P,citation311,grant,7/17/2016
364,Pagophila eburnea,2,SP,citation311,grant,7/17/2016
365,Phaetusa simplex,1,STr,citation311,grant,7/17/2016
366,Phaetusa simplex,2,Tr,citation311,grant,7/17/2016
367,Procelsterna albivitta,1,STr,citation311,grant,7/17/2016
368,Procelsterna albivitta,2,Tr,citation311,grant,7/17/2016
369,Procelsterna cerulea,1,unknown,citation311,grant,7/17/2016
370,Rhodostethia rosea,1,SP,citation311,grant,7/17/2016
371,Rissa brevirostris,1,SP,citation311,grant,7/17/2016
372,Rissa brevirostris,2,Tm,citation311,grant,7/17/2016
373,Rissa tridactyla,1,SP,citation311,grant,7/17/2016
374,Rissa tridactyla,2,Tm,citation311,grant,7/17/2016
375,Rynchops albicollis,1,Tr,citation311,grant,7/17/2016
376,Rynchops flavirostris,1,STr,citation311,grant,7/17/2016
377,Rynchops flavirostris,2,Tr,citation311,grant,7/17/2016
378,Rynchops niger,1,Tr,citation311,grant,7/17/2016
379,Saundersilarus saundersi,1,unknown,citation311,grant,7/17/2016
380,Sterna acuticauda,1,STr,citation311,grant,7/17/2016
381,Sterna acuticauda,2,Tr,citation311,grant,7/17/2016
382,Sterna aurantia,1,Tr,citation311,grant,7/17/2016
383,Sterna dougallii,1,Tm-Tr,citation311,grant,7/17/2016
384,Sterna forsteri,1,Tm,citation311,grant,7/17/2016
385,Sterna forsteri,2,STr,citation311,grant,7/17/2016
386,Sterna hirundinacea,1,Tm-Tr,citation311,grant,7/17/2016
387,Sterna hirundo,1,SP-Tm,citation311,grant,7/17/2016
388,Sterna paradisaea,1,P,citation311,grant,7/17/2016
389,Sterna paradisaea,2,SP,citation311,grant,7/17/2016
390,Sterna repressa,1,Tr,citation311,grant,7/17/2016
391,Sterna striata,1,STr,citation311,grant,7/17/2016
392,Sterna sumatrana,1,Tr,citation311,grant,7/17/2016
393,Sterna trudeaui,1,Tm,citation311,grant,7/17/2016
394,Sterna trudeaui,2,STr,citation311,grant,7/17/2016
395,Sterna virgata,1,Tm,citation311,grant,7/17/2016
396,Sterna vittata,1,STr,citation311,grant,7/17/2016
397,Sterna vittata,2,P,citation311,grant,7/17/2016
398,Sternula albifrons,1,Tm-Tr,citation311,grant,7/17/2016
399,Sternula antillarum,1,Tm-Tr,citation311,grant,7/17/2016
400,Sternula balaenarum,1,STr,citation311,grant,7/17/2016
401,Sternula balaenarum,2,Tr,citation311,grant,7/17/2016
402,Sternula lorata,1,Tr,citation311,grant,7/17/2016
403,Sternula nereis,1,STr,citation311,grant,7/17/2016
404,Sternula nereis,2,Tr,citation311,grant,7/17/2016
405,Sternula saundersi,1,unknown,citation311,grant,7/17/2016
406,Sternula superciliaris,1,STr,citation311,grant,7/17/2016
407,Sternula superciliaris,2,Tr,citation311,grant,7/17/2016
408,Thalasseus bengalensis,1,STr,citation311,grant,7/17/2016
409,Thalasseus bengalensis,2,Tr,citation311,grant,7/17/2016
410,Thalasseus bergii,1,STr,citation311,grant,7/17/2016
411,Thalasseus bergii,2,Tr,citation311,grant,7/17/2016
412,Thalasseus bernsteini,1,unknown,citation311,grant,7/17/2016
413,Thalasseus elegans,1,STr,citation311,grant,7/17/2016
414,Thalasseus maximus,1,Tm,citation311,grant,7/17/2016
415,Thalasseus maximus,2,STr,citation311,grant,7/17/2016
416,Thalasseus sandvicensis acuflavida,1,STr,citation311,grant,7/17/2016
417,Thalasseus sandvicensis acuflavida,2,Tm,citation311,grant,7/17/2016
418,Thalasseus sandvicensis eurygnatha,1,STr,citation311,grant,7/17/2016
419,Xema sabini,1,P,citation311,grant,7/17/2016
420,Xema sabini,2,SP,citation311,grant,7/17/2016
421,Fregetta grallaria,1,STr,citation311,grant,7/17/2016
422,Fregetta maoriana,1,SP,citation311,grant,7/17/2016
423,Fregetta tropica,1,SP,citation311,grant,7/17/2016
424,Fregetta tropica,2,Tm,citation311,grant,7/17/2016
425,Garrodia nereis,1,Tm,citation311,grant,7/17/2016
426,Nesofregetta fuliginosa,1,STr,citation311,grant,7/17/2016
427,Nesofregetta fuliginosa,2,Tr,citation311,grant,7/17/2016
428,Oceanites gracilis,1,STr,citation311,grant,7/17/2016
429,Oceanites gracilis,2,Tr,citation311,grant,7/17/2016
430,Oceanites gracilis galapagoensis,1,unknown,citation311,grant,7/17/2016
