iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
373,Oceanites oceanicus chilensis,LC,,2012,stable,,,,
374,Oceanites oceanicus exasperatus,LC,,2012,stable,,,,
375,Oceanites oceanicus oceanicus,LC,,2012,stable,,,,
376,Oceanites pincoyae,DD,,2014,unknown,,,,
377,Pelagodroma marina,LC,,2012,decreasing,,,,
378,Pedionomus torquatus,EN,C2a(ii),2012,decreasing,,,,
379,Pelecanus conspicillatus,LC,,2012,stable,,,,
380,Pelecanus crispus,VU,A2ce+3ce+4ce,2012,decreasing,,,,
381,Pelecanus erythrorhynchos,LC,,2012,increasing,,,,
382,Pelecanus occidentalis,LC,,2012,increasing,,,,
383,Pelecanus onocrotalus,LC,,2012,unknown,,,,
384,Pelecanus philippensis,NT,,2012,decreasing,,,,
385,Pelecanus rufescens,LC,,2012,stable,,,,
386,Pelecanus thagus,NT,,2012,increasing,,,,
387,Phaethon aethereus,LC,,2013,decreasing,,,,
388,Phaethon lepturus,LC,,2012,decreasing,,,,
389,Phaethon rubricauda,LC,,2013,stable,,,,
390,Microcarbo africanus,LC,,2012,decreasing,,,,
391,Microcarbo coronatus,NT,,2012,stable,,,,
392,Microcarbo melanoleucos,LC,,2012,unknown,,,,
393,Microcarbo niger,LC,,2012,unknown,,,,
394,Microcarbo pygmaeus,LC,,2012,increasing,,,,
395,Phalacrocorax bransfieldensis,LC,,2014,unknown,,,,
396,Phalacrocorax georgianus,LC,,2014,unknown,,,,
397,Phalacrocorax aristotelis,LC,,2012,decreasing,,,,
398,Phalacrocorax atriceps,LC,,2014,unknown,,,,
399,Phalacrocorax auritus,LC,,2012,increasing,,,,
400,Phalacrocorax bougainvilliorum,NT,,2014,decreasing,,,,
401,Phalacrocorax brasilianus,LC,,2012,increasing,,,,
402,Phalacrocorax campbelli,VU,D2,2012,stable,,,,
403,Phalacrocorax capensis,EN,A2bc+3bc+4bc,2013,decreasing,,,,
404,Phalacrocorax capillatus,LC,,2012,unknown,,,,
405,Phalacrocorax carbo,LC,,2012,increasing,,,,
406,Phalacrocorax carunculatus,VU,D1+2,2012,stable,,,,
407,Phalacrocorax chalconotus,VU,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v);C2a(i)",2012,decreasing,,,,
408,Phalacrocorax colensoi,VU,D2,2012,stable,,,,
409,Phalacrocorax featherstoni,EN,C1,2012,decreasing,,,,
410,Phalacrocorax fuscescens,LC,,2012,unknown,,,,
411,Phalacrocorax fuscicollis,LC,,2012,unknown,,,,
412,Phalacrocorax gaimardi,NT,,2012,decreasing,,,,
413,Phalacrocorax harrisi,VU,D2,2013,stable,,,,
414,Phalacrocorax magellanicus,LC,,2012,unknown,,,,
415,Phalacrocorax neglectus,EN,A2ace+3ce+4ace,2013,decreasing,,,,
