feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
258,Brachyramphus perdix,egg mass,,,,g,,,,citation311,grant,7/15/2016
259,Brachyramphus perdix,incubation period,,,,d,,,,citation311,grant,7/15/2016
260,Brachyramphus perdix,fledging period,,"[27,40]",,d,,,,citation311,grant,7/15/2016
261,Brachyramphus perdix,reproductive success,,,,%,,,,citation311,grant,7/15/2016
262,Brachyramphus perdix,hatching success,,,,%,,,,citation311,grant,7/15/2016
263,Brachyramphus perdix,fledging success,,,,%,,,,citation311,grant,7/15/2016
264,Brachyramphus perdix,max growth,,,,g/d,,,,citation311,grant,7/15/2016
265,Brachyramphus perdix,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
266,Brachyramphus perdix,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
267,Brachyramphus perdix,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
268,Brachyramphus perdix,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
269,Brachyramphus perdix,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
270,Brachyramphus perdix,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
271,Brachyramphus perdix,first year survival,,,,%,,,,citation311,grant,7/15/2016
272,Brachyramphus perdix,second year survival,,,,%,,,,citation311,grant,7/15/2016
273,Brachyramphus perdix,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
274,Brachyramphus perdix,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
275,Brachyramphus perdix,migration distance,,,,km,,,,citation311,grant,7/15/2016
276,Brachyramphus perdix,wingspan,,,,cm,,,,citation311,grant,7/15/2016
277,Brachyramphus perdix,max age,,,,yrs,,,,citation311,grant,7/15/2016
278,Brachyramphus perdix,annual survival,,,,%,,,,citation311,grant,7/15/2016
279,Brachyramphus perdix,foraging distance,,,,km,,,,citation311,grant,7/15/2016
280,Cepphus carbo,female mass,,,,Kg,,,,citation311,grant,7/15/2016
281,Cepphus carbo,male mass,,,,Kg,,,,citation311,grant,7/15/2016
282,Cepphus carbo,culmen,,,,mm,,,,citation311,grant,7/15/2016
283,Cepphus carbo,tarsus,,,,mm,,,,citation311,grant,7/15/2016
284,Cepphus carbo,tail,,,,mm,,,,citation311,grant,7/15/2016
285,Cepphus carbo,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
286,Cepphus carbo,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
287,Cepphus carbo,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
288,Cepphus carbo,clutch size,,"[1,2]",,N/A,,,,citation311,grant,7/15/2016
289,Cepphus carbo,egg mass,,,,g,,,,citation311,grant,7/15/2016
290,Cepphus carbo,incubation period,30,,,d,,,,citation311,grant,7/15/2016
291,Cepphus carbo,fledging period,,,,d,,,,citation311,grant,7/15/2016
292,Cepphus carbo,reproductive success,,,,%,,,,citation311,grant,7/15/2016
293,Cepphus carbo,hatching success,,,,%,,,,citation311,grant,7/15/2016
294,Cepphus carbo,fledging success,,,,%,,,,citation311,grant,7/15/2016
295,Cepphus carbo,max growth,,,,g/d,,,,citation311,grant,7/15/2016
296,Cepphus carbo,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
297,Cepphus carbo,post fledge care,,,,d,,,,citation311,grant,7/15/2016
298,Cepphus carbo,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
299,Cepphus carbo,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
300,Cepphus carbo,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
301,Cepphus carbo,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
302,Cepphus carbo,first year survival,,,,%,,,,citation311,grant,7/15/2016
303,Cepphus carbo,second year survival,,,,%,,,,citation311,grant,7/15/2016
304,Cepphus carbo,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
305,Cepphus carbo,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
306,Cepphus carbo,migration distance,,,,km,,,,citation311,grant,7/15/2016
307,Cepphus carbo,wingspan,,,,cm,,,,citation311,grant,7/15/2016
308,Cepphus carbo,max age,,,,yrs,,,,citation311,grant,7/15/2016
