fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
89,PELECANIFORMES,ARDEIDAE,Nycticorax,megacephalus,Nycticorax megacephalus,Nycticoraxmegacephalus,,Rodrigues Night-heron, Rodrigues Night-Heron,,,,,EX,,2012,,,,
90,PELECANIFORMES,ARDEIDAE,Nycticorax,nycticorax,Nycticorax nycticorax,Nycticoraxnycticorax,,Black-crowned Night-heron, Black-crowned Night-Heron., Black-crowned Night-Heron, Black-crowned Night Heron, Night Heron,,LC,,2012,decreasing,,,
91,PELECANIFORMES,ARDEIDAE,Pilherodius,pileatus,Pilherodius pileatus,Pilherodiuspileatus,Nycticorax pileatus pileatus,Capped Heron,,,,,,LC,,2012,unknown,,,
92,PELECANIFORMES,ARDEIDAE,Syrigma,sibilatrix,Syrigma sibilatrix,Syrigmasibilatrix,,Whistling Heron,,,,,,LC,,2012,unknown,,,
93,PELECANIFORMES,ARDEIDAE,Tigriornis,leucolopha,Tigriornis leucolopha,Tigriornisleucolopha,Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus ,White-crested Tiger-heron, White-crested Tiger Heron, White-crested Bittern,,,,LC,,2012,unknown,,,
94,PELECANIFORMES,ARDEIDAE,Tigrisoma,fasciatum,Tigrisoma fasciatum,Tigrisomafasciatum,,Fasciated Tiger-heron, Fasciated Tiger Heron, Fasciated Tiger-Heron,,,,LC,,2012,unknown,,,
95,PELECANIFORMES,ARDEIDAE,Tigrisoma,lineatum,Tigrisoma lineatum,Tigrisomalineatum,,Rufescent Tiger-heron, Rufescent Tiger Heron, Rufescent Tiger-Heron,,,,LC,,2012,unknown,,,
96,PELECANIFORMES,ARDEIDAE,Tigrisoma,mexicanum,Tigrisoma mexicanum,Tigrisomamexicanum,,Bare-throated Tiger-heron, Bare-throated Tiger Heron, Bare-throated Tiger-Heron,,,,LC,,2012,unknown,,,
97,PELECANIFORMES,ARDEIDAE,Zebrilus,undulatus,Zebrilus undulatus,Zebrilusundulatus,,Zigzag Heron,,,,,,NT,,2012,decreasing,,,
98,PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,Zonerodius heliosylus,Zonerodiusheliosylus,,Forest Bittern,,,,,,NT,,2012,decreasing,,,
99,PELECANIFORMES,BALAENICIPITIDAE,Balaeniceps,rex,Balaeniceps rex,Balaenicepsrex,,Shoebill, Whale-headed Stork,,,,,VU,C2a(ii),2012,decreasing,,,
100,CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,Burhinus bistriatus,Burhinusbistriatus,,Double-striped Thick-knee,,,,,,LC,,2012,stable,,,
101,CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,Burhinus capensis,Burhinuscapensis,,Spotted Thick-knee, Spotted Dikkop,,,,,LC,,2012,stable,,,
102,CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,Burhinus grallarius,Burhinusgrallarius,,Bush Thick-knee, Bush Stone-curlew,,,,,LC,,2012,decreasing,,,
103,CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,Burhinus indicus,Burhinusindicus,,Indian Thick-knee,,,,,,LC,,2014,decreasing,,,
104,CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,Burhinus oedicnemus,Burhinusoedicnemus,,Eurasian Thick-knee, Stone Curlew,,,,,LC,,2014,decreasing,,,
