feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
457,Pelecanoidesgarnotii,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
458,Pelecanoidesgeorgicus,,0.09,0.15,,,0.09,0.15,,,,,,,,1,,,,17,,44,52,,,42,60,,,,,4.8,,,,,,,,,0.145,,,,,,,2,,,,NS,,,30,38,,,,,,,,,,,,,grant,27/06/2016
459,Pelecanoidesmagellani,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
460,Pelecanoidesurinatrix,,0.11,0.15,,,0.11,0.15,,,,,,,,1,,,,,53.5,,,,,49,55,,,,,4.3,,,,,0,,,,,,,,,,,,2,3,,NS,,43,,,,,,,,,75,87,,,,,grant,27/06/2016
461,Pelecanoidesurinatrixexsul,0.134,,,,0.134,,,,,,,,,,1,,,,19,54,,,,54,,,,,,,,,,,,,,,,0.16,,,,,,,2,,,,,,,,,,,,,,75,,,,,,,,
462,Procellariaaequinoctialis,1.28,,,,1.39,,,,,,,,,,1,,,,124,,57,62,,,87,106,,,,,24,,,,,,,,,1.85,,,,,,,6.5,,,,OS,,,134,147,,,,,,79,,,,,,,grant,27/06/2016
463,Procellariacinerea,1.13,,,,1.13,,,,,,,,,,1,,,,110,,52,61,,93,110,120,,,,,18,,,,,,,,,1.22,,,,,,,7,,,,OS,,,115,130,,,,,,,,,,,,,grant,27/06/2016
464,Procellariaconspicillata,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
465,Procellariaparkinsoni,0.68,,,,0.72,,,,,,,,,,1,,,,,56,,,,,96,122,,,,,,,,,,0,,,,,,,,,,,,6,8,,OS,,115,,,,,,,,94,,,,,,,grant,27/06/2016
466,Procellariawestlandica,,1.1,1.2,,,1.2,1.3,,,,,,,,1,,,,,,51,68,,130,,,,,,,,,,,,0,,,,,,,,,,,12,,,,OS,8-9000km,,135,140,,,,,,,,,,,,,grant,27/06/2016
467,Pseudobulweriaaterrima,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,,,,,,,,,,,,,,,,grant,27/06/2016
468,Pseudobulweriabecki,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
469,Pseudobulweriamacgillivrayi,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
470,Pseudobulweriarostrata,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,grant,27/06/2016
471,Pterdromaocculta,0.4,,,ca,0.4,,,ca,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransEq,,,,,,,,,,,,,,,,grant,27/06/2016
