sst_id,feature_id,species_id,cite_id
464,291,Larusdominicanus,citation135
465,291,Larusdominicanus,citation169
466,291,Larusdominicanus,citation170
467,291,Larusdominicanus,citation42
468,291,Larusdominicanus,citation171
469,291,Larusdominicanus,citation5
470,292,Larusfuliginosus,citation42
471,293,Larusfuscus,citation117
472,293,Larusfuscus,citation42
473,293,Larusfuscus,citation217
474,293,Larusfuscus,citation296
475,294,Larusgenei,citation42
476,294,Larusgenei,citation198
477,295,Larusglaucescens,citation289
478,295,Larusglaucescens,citation288
479,295,Larusglaucescens,citation42
480,295,Larusglaucescens,citation16
481,295,Larusglaucescens,citation234
482,296,Larusglaucoides,citation42
483,297,Larushartlaubii,citation42
484,298,Larusheermanni,citation42
485,299,Larushemprichii,citation42
486,300,Larushyperboreus,citation42
487,301,Larusichthyaetus,citation117
488,301,Larusichthyaetus,citation42
489,302,Larusleucophthalmus,citation42
490,303,Laruslivens,citation49
491,303,Laruslivens,citation42
492,303,Laruslivens,citation205
493,304,Larusmaculipennis,citation42
494,305,Larusmarinus,citation58
495,305,Larusmarinus,citation42
496,305,Larusmarinus,citation107
497,305,Larusmarinus,citation16
498,306,Larusmelanocephalus,citation42
499,307,Larusmichahellis,citation42
500,308,Larusmodestus,citation42
501,309,Larusnovaehollandiae,citation191
502,309,Larusnovaehollandiae,citation126
503,309,Larusnovaehollandiae,citation42
504,310,Larusoccidentalis,citation20
505,310,Larusoccidentalis,citation49
506,310,Larusoccidentalis,citation214
507,310,Larusoccidentalis,citation42
508,310,Larusoccidentalis,citation16
509,310,Larusoccidentalis,citation270
510,311,Laruspacificus,citation42
511,312,Larusphiladelphia,citation42
512,313,Laruspipixcan,citation37
513,313,Laruspipixcan,citation38
514,313,Laruspipixcan,citation41
515,313,Laruspipixcan,citation16
516,314,Larusrelictus,citation42
517,315,Larusridibundus,citation42
518,315,Larusridibundus,citation272
519,315,Larusridibundus,citation219
520,316,Larusschistisagus,citation42
521,317,Larusscopulinus,citation135
522,317,Larusscopulinus,citation170
